server_date          - entity_type  - entity_name                    - current_status  - additional_details
2022-11-25T10:22:36  - file         - mouse_refs.tar.gz              - started         - file_id: 0
2022-11-25T10:24:36  - file         - mouse_refs.tar.gz              - finished        - file_id: 38320890
2022-11-25T10:33:33  - file         - human_refs.tar.gz              - started         - file_id: 0
2022-11-25T10:34:42  - file         - worm_test.tar.gz               - started         - file_id: 0
2022-11-25T10:35:01  - file         - fly_test.tar.gz                - started         - file_id: 0
2022-11-25T10:35:04  - file         - worm_test.tar.gz               - finished        - file_id: 38321788
2022-11-25T10:35:15  - file         - fly_test.tar.gz                - finished        - file_id: 38321794
2022-11-25T10:36:30  - file         - human_refs.tar.gz              - finished        - file_id: 38321787
2022-11-25T10:40:25  - file         - mouse_test.tar.gz              - started         - file_id: 0
2022-11-25T10:41:41  - file         - mouse_test.tar.gz              - finished        - file_id: 38321814
2022-11-25T10:46:44  - file         - human_test.tar.gz              - started         - file_id: 0
2022-11-25T10:46:48  - file         - README.txt                     - started         - file_id: 0
2022-11-25T10:46:48  - file         - README.txt                     - finished        - file_id: 38269925
2022-11-25T10:46:51  - file         - manifest.txt                   - started         - file_id: 0
2022-11-25T10:46:51  - file         - manifest.txt                   - finished        - file_id: 38251363
2022-11-25T10:48:36  - file         - human_test.tar.gz              - finished        - file_id: 38321820
2022-11-25T11:16:53  - file         - worm_refs.tar.gz               - Incomplete upload, skipping... - 
2022-11-25T11:18:30  - file         - worm_refs.tar.gz               - started         - file_id: 0
2022-11-25T11:18:45  - file         - worm_refs.tar.gz               - finished        - file_id: 38321895
2022-11-25T13:22:00  - file         - md5_sums.txt                   - Incomplete upload, skipping... - 
2022-11-25T13:22:15  - file         - md5_sums.txt                   - started         - file_id: 0
2022-11-25T13:22:15  - file         - md5_sums.txt                   - finished        - file_id: 38323758
